SettlementPoint,Year,Month,AveragePrice
HB_HUBAVG,2019,11,23.25723611111111
HB_HUBAVG,2019,12,18.623373655913976
HB_NORTH,2016,1,19.133306451612903
HB_NORTH,2016,2,15.292658045977012
HB_NORTH,2016,3,16.859367429340512
HB_NORTH,2016,4,18.350666666666665
HB_NORTH,2016,5,17.905631720430108
HB_NORTH,2016,6,23.158055555555556
HB_NORTH,2016,7,26.800793010752688
HB_NORTH,2016,8,29.828387096774193
HB_NORTH,2016,9,26.249180555555554
HB_NORTH,2016,10,24.005255376344085
HB_NORTH,2016,11,18.66488888888889
HB_NORTH,2016,12,25.14904569892473
HB_NORTH,2017,1,22.991854838709674
HB_NORTH,2017,2,19.448199404761905
HB_NORTH,2017,3,21.22777927321669
HB_NORTH,2017,4,21.410555555555558
HB_NORTH,2017,5,23.419919354838708
HB_NORTH,2017,6,25.890569444444445
HB_NORTH,2017,7,30.654314516129034
HB_NORTH,2017,8,26.832728494623655
HB_NORTH,2017,9,23.346111111111114
HB_NORTH,2017,10,21.40590053763441
HB_NORTH,2017,11,21.596208333333333
HB_NORTH,2017,12,20.952997311827957
HB_NORTH,2018,1,37.58590053763441
HB_NORTH,2018,2,21.76702380952381
HB_NORTH,2018,3,22.608008075370122
HB_NORTH,2018,4,23.522916666666667
HB_NORTH,2018,5,35.30614247311828
HB_NORTH,2018,6,30.21188888888889
HB_NORTH,2018,7,78.96845430107527
HB_NORTH,2018,8,31.603051075268816
HB_NORTH,2018,9,27.29963888888889
HB_NORTH,2018,10,30.034166666666664
HB_NORTH,2018,11,31.234888888888886
HB_NORTH,2018,12,30.398266129032258
HB_NORTH,2019,1,24.33263440860215
HB_NORTH,2019,2,20.864955357142858
HB_NORTH,2019,3,28.103714670255723
HB_NORTH,2019,4,22.99740277777778
HB_NORTH,2019,5,23.978884408602152
HB_NORTH,2019,6,25.175819444444446
HB_NORTH,2019,7,29.781290322580645
HB_NORTH,2019,8,126.52185483870967
HB_NORTH,2019,9,79.91958333333334
HB_NORTH,2019,10,27.995967741935484
HB_NORTH,2019,11,23.62861111111111
HB_NORTH,2019,12,18.73198924731183
HB_PAN,2019,4,16.548766666666666
HB_PAN,2019,5,16.414327956989247
HB_PAN,2019,6,20.731319444444445
HB_PAN,2019,7,28.384569892473117
HB_PAN,2019,8,124.99173387096775
HB_PAN,2019,9,72.85329166666666
HB_PAN,2019,10,18.716760752688174
HB_PAN,2019,11,11.661291666666665
HB_PAN,2019,12,8.817244623655913
HB_SOUTH,2016,1,19.21005376344086
HB_SOUTH,2016,2,15.333591954022989
HB_SOUTH,2016,3,16.763109017496635
HB_SOUTH,2016,4,18.51290277777778
HB_SOUTH,2016,5,18.57045698924731
HB_SOUTH,2016,6,24.645375
HB_SOUTH,2016,7,26.960255376344087
HB_SOUTH,2016,8,31.207970430107526
HB_SOUTH,2016,9,27.405569444444442
HB_SOUTH,2016,10,26.689663978494625
HB_SOUTH,2016,11,20.148833333333332
HB_SOUTH,2016,12,25.708991935483873
HB_SOUTH,2017,1,23.62481182795699
HB_SOUTH,2017,2,21.079360119047617
HB_SOUTH,2017,3,23.680753701211305
HB_SOUTH,2017,4,25.609402777777778
HB_SOUTH,2017,5,26.495013440860216
HB_SOUTH,2017,6,29.654694444444445
HB_SOUTH,2017,7,32.1294623655914
HB_SOUTH,2017,8,28.31502688172043
HB_SOUTH,2017,9,25.51509722222222
HB_SOUTH,2017,10,25.563655913978497
HB_SOUTH,2017,11,23.977180555555556
HB_SOUTH,2017,12,21.99791666666667
HB_SOUTH,2018,1,39.498145161290324
HB_SOUTH,2018,2,22.30639880952381
HB_SOUTH,2018,3,22.888452220726784
HB_SOUTH,2018,4,24.471888888888888
HB_SOUTH,2018,5,34.226075268817205
HB_SOUTH,2018,6,30.068638888888888
HB_SOUTH,2018,7,78.84737903225806
HB_SOUTH,2018,8,31.66752688172043
HB_SOUTH,2018,9,27.189805555555555
HB_SOUTH,2018,10,29.772513440860216
HB_SOUTH,2018,11,29.837180555555555
HB_SOUTH,2018,12,30.089301075268814
HB_SOUTH,2019,1,25.08606182795699
HB_SOUTH,2019,2,22.12563988095238
HB_SOUTH,2019,3,27.13555854643338
HB_SOUTH,2019,4,22.463333333333335
HB_SOUTH,2019,5,24.05994623655914
HB_SOUTH,2019,6,23.90436111111111
HB_SOUTH,2019,7,29.6375
HB_SOUTH,2019,8,125.93654569892472
HB_SOUTH,2019,9,78.90047222222222
HB_SOUTH,2019,10,29.468400537634412
HB_SOUTH,2019,11,23.718555555555557
HB_SOUTH,2019,12,18.952513440860216
HB_WEST,2016,1,19.126559139784945
HB_WEST,2016,2,14.988663793103449
HB_WEST,2016,3,15.871668909825033
HB_WEST,2016,4,16.862750000000002
HB_WEST,2016,5,17.337674731182794
HB_WEST,2016,6,23.141930555555554
HB_WEST,2016,7,26.54356182795699
HB_WEST,2016,8,29.78673387096774
HB_WEST,2016,9,26.35425
HB_WEST,2016,10,24.11393817204301
HB_WEST,2016,11,18.778416666666665
HB_WEST,2016,12,24.86266129032258
HB_WEST,2017,1,21.901720430107527
HB_WEST,2017,2,17.61668154761905
HB_WEST,2017,3,19.813593539703902
HB_WEST,2017,4,19.99609722222222
HB_WEST,2017,5,22.166612903225804
HB_WEST,2017,6,25.331694444444445
HB_WEST,2017,7,30.293642473118283
HB_WEST,2017,8,26.81704301075269
HB_WEST,2017,9,22.678819444444443
HB_WEST,2017,10,21.693830645161288
HB_WEST,2017,11,21.00179166666667
HB_WEST,2017,12,20.338037634408604
HB_WEST,2018,1,36.05163978494624
HB_WEST,2018,2,21.08760416666667
HB_WEST,2018,3,20.333620457604304
HB_WEST,2018,4,17.156625000000002
HB_WEST,2018,5,27.692016129032258
HB_WEST,2018,6,28.277027777777775
HB_WEST,2018,7,78.51755376344086
HB_WEST,2018,8,31.560120967741934
HB_WEST,2018,9,26.13959722222222
HB_WEST,2018,10,28.76133064516129
HB_WEST,2018,11,28.71525
HB_WEST,2018,12,29.944005376344087
HB_WEST,2019,1,23.88154569892473
HB_WEST,2019,2,20.491160714285712
HB_WEST,2019,3,25.669676985195153
HB_WEST,2019,4,19.551875
HB_WEST,2019,5,22.702661290322578
HB_WEST,2019,6,24.708555555555556
HB_WEST,2019,7,29.455470430107525
HB_WEST,2019,8,126.3152822580645
HB_WEST,2019,9,78.42925
HB_WEST,2019,10,24.668131720430107
HB_WEST,2019,11,21.66026388888889
HB_WEST,2019,12,18.136424731182796
LZ_AEN,2016,1,19.324663978494623
LZ_AEN,2016,2,15.448290229885059
LZ_AEN,2016,3,16.85507402422611
LZ_AEN,2016,4,18.256069444444446
LZ_AEN,2016,5,18.124905913978495
LZ_AEN,2016,6,24.237513888888888
LZ_AEN,2016,7,27.976102150537635
LZ_AEN,2016,8,30.699516129032258
LZ_AEN,2016,9,26.71086111111111
LZ_AEN,2016,10,25.62290322580645
LZ_AEN,2016,11,19.640041666666665
LZ_AEN,2016,12,25.870174731182797
LZ_AEN,2017,1,23.404475806451615
LZ_AEN,2017,2,20.60532738095238
LZ_AEN,2017,3,22.99701211305518
LZ_AEN,2017,4,24.118083333333335
LZ_AEN,2017,5,25.293844086021505
LZ_AEN,2017,6,27.916638888888887
LZ_AEN,2017,7,31.401438172043008
LZ_AEN,2017,8,27.46561827956989
LZ_AEN,2017,9,24.62880555555556
LZ_AEN,2017,10,24.019905913978498
LZ_AEN,2017,11,23.019444444444446
LZ_AEN,2017,12,21.06293010752688
LZ_AEN,2018,1,38.83798387096774
LZ_AEN,2018,2,21.913883928571426
LZ_AEN,2018,3,22.202826379542397
LZ_AEN,2018,4,22.18848611111111
LZ_AEN,2018,5,33.16616935483871
LZ_AEN,2018,6,30.286125
LZ_AEN,2018,7,78.95137096774194
LZ_AEN,2018,8,31.732137096774192
LZ_AEN,2018,9,27.167305555555554
LZ_AEN,2018,10,30.31
LZ_AEN,2018,11,30.468083333333333
LZ_AEN,2018,12,30.094758064516128
LZ_AEN,2019,1,25.107956989247313
LZ_AEN,2019,2,21.513809523809524
LZ_AEN,2019,3,27.742180349932703
LZ_AEN,2019,4,23.270347222222224
LZ_AEN,2019,5,24.676236559139785
LZ_AEN,2019,6,24.41679166666667
LZ_AEN,2019,7,29.709086021505378
LZ_AEN,2019,8,126.52692204301076
LZ_AEN,2019,9,80.16959722222222
LZ_AEN,2019,10,29.280443548387098
LZ_AEN,2019,11,24.40801388888889
LZ_AEN,2019,12,19.05170698924731
LZ_CPS,2016,1,19.353844086021507
LZ_CPS,2016,2,15.520014367816092
LZ_CPS,2016,3,16.898183041722746
LZ_CPS,2016,4,19.06936111111111
LZ_CPS,2016,5,18.47986559139785
LZ_CPS,2016,6,24.958069444444448
LZ_CPS,2016,7,27.967956989247313
LZ_CPS,2016,8,31.306572580645163
LZ_CPS,2016,9,28.130249999999997
LZ_CPS,2016,10,26.250295698924734
LZ_CPS,2016,11,21.714666666666666
LZ_CPS,2016,12,26.596424731182797
LZ_CPS,2017,1,23.772567204301076
LZ_CPS,2017,2,20.919479166666665
LZ_CPS,2017,3,23.861547779273216
LZ_CPS,2017,4,25.337902777777778
LZ_CPS,2017,5,26.53702956989247
LZ_CPS,2017,6,30.416
LZ_CPS,2017,7,32.11529569892473
LZ_CPS,2017,8,28.137567204301074
LZ_CPS,2017,9,25.136652777777776
LZ_CPS,2017,10,25.27595430107527
LZ_CPS,2017,11,23.572569444444444
LZ_CPS,2017,12,22.04837365591398
LZ_CPS,2018,1,41.31287634408602
LZ_CPS,2018,2,22.517395833333335
LZ_CPS,2018,3,25.2892732166891
LZ_CPS,2018,4,26.535375000000002
LZ_CPS,2018,5,36.05559139784946
LZ_CPS,2018,6,30.727277777777775
LZ_CPS,2018,7,79.12443548387097
LZ_CPS,2018,8,31.86568548387097
LZ_CPS,2018,9,27.512986111111108
LZ_CPS,2018,10,31.635967741935485
LZ_CPS,2018,11,32.04120833333333
LZ_CPS,2018,12,30.30922043010753
LZ_CPS,2019,1,26.798333333333332
LZ_CPS,2019,2,24.110119047619047
LZ_CPS,2019,3,29.35169582772544
LZ_CPS,2019,4,25.363597222222225
LZ_CPS,2019,5,26.246075268817208
LZ_CPS,2019,6,26.391291666666667
LZ_CPS,2019,7,30.66717741935484
LZ_CPS,2019,8,127.69620967741935
LZ_CPS,2019,9,82.43634722222222
LZ_CPS,2019,10,33.553602150537635
LZ_CPS,2019,11,25.575138888888887
LZ_CPS,2019,12,19.997862903225805
LZ_HOUSTON,2016,1,19.56393817204301
LZ_HOUSTON,2016,2,15.487988505747126
LZ_HOUSTON,2016,3,17.206729475100943
LZ_HOUSTON,2016,4,19.128930555555556
LZ_HOUSTON,2016,5,19.90399193548387
LZ_HOUSTON,2016,6,29.915083333333335
LZ_HOUSTON,2016,7,29.911868279569894
LZ_HOUSTON,2016,8,33.56354838709677
LZ_HOUSTON,2016,9,29.032680555555554
LZ_HOUSTON,2016,10,28.54581989247312
LZ_HOUSTON,2016,11,20.437680555555556
LZ_HOUSTON,2016,12,25.73684139784946
LZ_HOUSTON,2017,1,24.82736559139785
LZ_HOUSTON,2017,2,23.51721726190476
LZ_HOUSTON,2017,3,28.742005383580082
LZ_HOUSTON,2017,4,32.96706944444445
LZ_HOUSTON,2017,5,32.36264784946237
LZ_HOUSTON,2017,6,33.66891666666667
LZ_HOUSTON,2017,7,34.725833333333334
LZ_HOUSTON,2017,8,30.031478494623652
LZ_HOUSTON,2017,9,27.410027777777778
LZ_HOUSTON,2017,10,31.339381720430108
LZ_HOUSTON,2017,11,26.339624999999998
LZ_HOUSTON,2017,12,21.979784946236556
LZ_HOUSTON,2018,1,38.04498655913979
LZ_HOUSTON,2018,2,22.375848214285714
LZ_HOUSTON,2018,3,23.933458950201885
LZ_HOUSTON,2018,4,24.728347222222222
LZ_HOUSTON,2018,5,35.53303763440861
LZ_HOUSTON,2018,6,31.80234722222222
LZ_HOUSTON,2018,7,79.56653225806451
LZ_HOUSTON,2018,8,32.159623655913975
LZ_HOUSTON,2018,9,27.722416666666668
LZ_HOUSTON,2018,10,31.781115591397853
LZ_HOUSTON,2018,11,31.730333333333334
LZ_HOUSTON,2018,12,30.462069892473117
LZ_HOUSTON,2019,1,25.550080645161287
LZ_HOUSTON,2019,2,21.644255952380952
LZ_HOUSTON,2019,3,28.080323014804847
LZ_HOUSTON,2019,4,24.264583333333334
LZ_HOUSTON,2019,5,25.153615591397852
LZ_HOUSTON,2019,6,27.226736111111112
LZ_HOUSTON,2019,7,30.013064516129035
LZ_HOUSTON,2019,8,126.6933870967742
LZ_HOUSTON,2019,9,80.77929166666667
LZ_HOUSTON,2019,10,30.642379032258066
LZ_HOUSTON,2019,11,24.18161111111111
LZ_HOUSTON,2019,12,18.919852150537636
LZ_LCRA,2016,1,19.317459677419354
LZ_LCRA,2016,2,15.488548850574714
LZ_LCRA,2016,3,16.796298788694482
LZ_LCRA,2016,4,18.392708333333335
LZ_LCRA,2016,5,18.182782258064517
LZ_LCRA,2016,6,24.164416666666668
LZ_LCRA,2016,7,27.592217741935485
LZ_LCRA,2016,8,31.175577956989247
LZ_LCRA,2016,9,27.03994444444444
LZ_LCRA,2016,10,26.068440860215055
LZ_LCRA,2016,11,19.541680555555555
LZ_LCRA,2016,12,25.487876344086022
LZ_LCRA,2017,1,23.43627688172043
LZ_LCRA,2017,2,20.66081845238095
LZ_LCRA,2017,3,23.437133243607
LZ_LCRA,2017,4,24.47741666666667
LZ_LCRA,2017,5,25.63795698924731
LZ_LCRA,2017,6,28.639083333333332
LZ_LCRA,2017,7,31.905712365591395
LZ_LCRA,2017,8,27.67801075268817
LZ_LCRA,2017,9,24.813430555555552
LZ_LCRA,2017,10,24.484260752688172
LZ_LCRA,2017,11,23.047125
LZ_LCRA,2017,12,21.11766129032258
LZ_LCRA,2018,1,38.992567204301075
LZ_LCRA,2018,2,21.762247023809522
LZ_LCRA,2018,3,22.05130551816958
LZ_LCRA,2018,4,22.64402777777778
LZ_LCRA,2018,5,34.73540322580645
LZ_LCRA,2018,6,30.365555555555556
LZ_LCRA,2018,7,79.06994623655915
LZ_LCRA,2018,8,31.807970430107527
LZ_LCRA,2018,9,27.187263888888893
LZ_LCRA,2018,10,30.069879032258065
LZ_LCRA,2018,11,30.515805555555556
